tweet,predicted_class,createdAt,updatedAt
i'm fine,2,2025-03-20 04:19:34,2025-03-20 04:19:34
i'm  ok,2,2025-03-20 04:58:48,2025-03-20 04:58:48
Abhijeet is very good body,1,2025-03-20 05:02:50,2025-03-20 05:02:50
Abhijeet is very good body.,1,2025-03-20 05:05:55,2025-03-20 05:05:55
Abhijeet is very good body,1,2025-03-20 05:06:22,2025-03-20 05:06:22
Abhijeet is very good body,1,2025-03-20 05:06:55,2025-03-20 05:06:55
Ia,0,2025-03-20 05:07:49,2025-03-20 05:07:49
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they love America ",0,2025-03-21 10:45:12,2025-03-21 10:45:12
Priyanshu is a good boy,1,2025-03-24 09:46:25,2025-03-24 09:46:25
I hate priyanshu so much..he is bad boy and dirty minded boy,0,2025-03-24 09:47:06,2025-03-24 09:47:06
priyanshu is intelligent,2,2025-03-24 09:47:30,2025-03-24 09:47:30
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-24 15:07:35,2025-03-24 15:07:35
