tweet,predicted_class,createdAt,updatedAt,__v
i'm fine,2,2025-03-20 04:19:34.336,2025-03-20 04:19:34.336,0
i'm  ok,2,2025-03-20 04:58:47.975,2025-03-20 04:58:47.975,0
Abhijeet is very good body,1,2025-03-20 05:02:49.797,2025-03-20 05:02:49.797,0
Abhijeet is very good body.,1,2025-03-20 05:05:54.651,2025-03-20 05:05:54.651,0
Abhijeet is very good body,1,2025-03-20 05:06:22.274,2025-03-20 05:06:22.274,0
Abhijeet is very good body,1,2025-03-20 05:06:54.989,2025-03-20 05:06:54.989,0
Ia,0,2025-03-20 05:07:49.349,2025-03-20 05:07:49.349,0
"Many all-star engineers are taking major pay cuts (sometimes to zero) and suffering from harassment, including death threats, to help the country with @DOGE, because they love America ",0,2025-03-21 10:45:11.980,2025-03-21 10:45:11.980,0
Priyanshu is a good boy,1,2025-03-24 09:46:24.574,2025-03-24 09:46:24.574,0
I hate priyanshu so much..he is bad boy and dirty minded boy,0,2025-03-24 09:47:06.018,2025-03-24 09:47:06.018,0
priyanshu is intelligent,0,2025-03-24 09:47:29.599,2025-03-24 09:47:29.599,0
This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzerThis is positive tweet let's see what happen when send to analyzer This is positive tweet let's see what happen when send to analyzer This is positive tweet,1,2025-03-24 15:07:35.166,2025-03-24 15:07:35.166,0
